Program,Round,Recipient Name,Physical Address of Recipient - Suburb/Location,Physical Address of Recipient - Post Code,University Collaborator (if applicable),Other Partners; Collaborators (if applicable),Investment/Project Title,Primary Location of Activity/Project - Suburb,Primary Location of Activity/Project - Post Code,Multiple Locations of Activity/Project (if applicable),Approval date,Local Government /Council,RAP Region,State Electorate,Actual Contractual Commitment ($)
Platform Technology Program,AQ Platform Technology Program 2016-17 Round 1,Boeing Defence Australia Ltd,Brisbane City,4000.0,, The partners will be selected post-funding award (see details below in section on partner relationships).,Advanced Autonomy Platform Technologies  Tier 1 Of 3,Brisbane City,4000.0,,2/02/2018,Brisbane (C),Brisbane And Redlands,Mcconnel,9000000.0
Platform Technology Program,AQ Platform Technology Program 2016-17 Round 1,Redback Operations Pty Ltd,Indooroopilly,4068.0,," Energy Queensland Limited 
 University of Queensland 
 Springfield City Group Pty Limited 
 Redback Operations Pty Ltd",Redback Smart Monitoring Platform,Indooroopilly,4068.0,,28/09/2017,Brisbane (C),Brisbane And Redlands,Maiwar,3807672.0
Platform Technology Program,AQ Platform Technology Program 2016-17 Round 1,Datarwe Pty Ltd,Southport,4215.0,," Smart AI Connect Pty Ltd 
 Eliiza Pty Ltd 
 BitQ Pty Ltd 
 Amazon Web Services Australia Pty Ltd 
 IntelliHQ Group Limited 
 Alive Technologies Pty Ltd 
 K J Ross and Associates Pty Ltd 
 Techconnect Software Services Pty Ltd 
 GE Healthcare Australia Pty Limited 
 Intel Australia Pty Ltd 
 Griffith University 
 Augmented Intelligence Pty Ltd",Precision Medicine Data Platform,Southport,4215.0,,21/05/2019,Gold Coast (C),Gold Coast,Bonney,1500000.0
Private Sector Pathways Program,PSP - Mater Education - Diploma of Nursing Round - 2022,Cpd Central Pty Ltd,Southport,4215.0,, Mater Education Ltd,Improving Student Retention And Engagement With Integrated & Innovative Education Delivery,Southport,4215.0,"Onsite @ Mater Education & At Any Practical Locations Such As An Aged Care Facility & 38 Alison Street, Carrara",22/11/2022,Gold Coast (C),Gold Coast,Bonney,47345.0
Qcn Fibre Regional Pilot Program,Round 1,Queensland Capacity Network Pty Ltd,Fortitude Valley,4006.0,,nan,Qcn Pilots Project,Fortitude Valley,4006.0,"Toowoomba, Warwick And Goondiwindi",11/03/2020,Brisbane (C),Brisbane And Redlands,Mcconnel,197000.0
Qcn Fibre Conneciton To North Queensland Regional Data Centre,Round 1,Townsville City Council,Townsville City,4810.0,,nan,Delivery Of Townsville Point Of Interconnect (Poi),Garbutt,4814.0,,27/11/2019,Townsville (C),Townsville,Townsville,350000.0
Qihub,,Starred Pty Ltd,Coogee,2034.0,,nan,Qi Hub,nan,,,12/05/2020,Nonqueensland,Statewide,Nonqueensland,52000.0
Queensland Connects,Round 1,Queensland University Of Technology,Brisbane City,4000.0,,nan,Queensland Connects - Qut,Brisbane City,4000.0,,12/03/2020,Brisbane (C),Brisbane And Redlands,Mcconnel,250000.0
Queensland Connects,Round 1,Greater Whitsunday Alliance Limited,Mackay,4740.0,,nan,Queensland Connects - Mackay,Mackay,4740.0,,4/02/2020,Mackay (R),Mackay-Whitsunday,Mackay,100000.0
Queensland Connects,Round 1,Toowoomba And Surat Basin Enterprise Pty Ltd,Toowoomba City,4350.0,,nan,Queensland Connects - Toowoomba,Toowoomba City,4350.0,,9/04/2020,Toowoomba (R),Darling Downs,Toowoomba North,52668.0
Queensland Connects,Round 1,Central Queensland University,Gladstone Central,4680.0,,nan,Queensland Connects - Gladstone,Gladstone Central,4680.0,,9/04/2020,Gladstone (R),Central Queensland,Gladstone,96190.0
Queensland Emory Drug Discovery Initiative,Queensland Emory Drug Discovery Initiative,The University Of Queensland,St Lucia,4067.0,, Emory University,Operation Of The Queensland Emory Drug Discovery Initiative (Qeddi),St Lucia,4067.0,,25/09/2015,Brisbane (C),Brisbane And Redlands,Maiwar,4169000.0
Queensland Future Skills Project,Round 1,Tafe Queensland,South Brisbane,4101.0,,nan,Queensland Future Skill Partnership Project,South Brisbane,4101.0,Mackay And State-Wide Online Courses,22/02/2021,Brisbane (C),Brisbane And Redlands,South Brisbane,157440.0
Queensland Startup Events And Activities Fund,Round 15 2016-17,Red Ridge (Interior Queensland) Limited,Blackall,4472.0,,Central Western Queensland Remote Area Planning and Development Board (CWQRAPAD)- NFP,Startup Weekend Outback,Blackall,4472.0,,31/07/2017,Blackall-Tambo (R),Outback Queensland,Gregory,24219.0
Queensland Startup Events And Activities Fund,Round 15 2016-17,Regional Development Australia (Rda) Brisbane Incorporated,Greenslopes,4120.0,,"Career Employment Australia,  Brisbane City Council & Brisbane Marketing, TAFE Queensland Small Business Solutions",Business And Entrepreneurial Skills Development For Seq Startups,Greenslopes,4120.0,,3/07/2017,Brisbane (C),Brisbane,Greenslopes,22335.0
Queensland Startup Events And Activities Fund,Round 15 2016-17,Queensland Music Network Incorporated,Fortitude Valley,4006.0,,"Myriad , QUT CEA, River City Labs",Bigsound Music Tech Mentoring And Showcase Program,Fortitude Valley,4006.0,,3/07/2017,Brisbane (C),Brisbane,Mcconnel,13095.0
Queensland Startup Events And Activities Fund,Round 14 2016-17,Rotary Club Of Ipswich City,Ipswich,4305.0,,"Rotary Club of Ipswich City Incorporated, Random Hacks of Kindness (RHoK) Australia, Fire Station 101 Innovation Hub","Random Hacks Of Kindness (Rhok) Ipswich, Winter '17 Hackathon",Ipswich,4305.0,,30/05/2017,Ipswich (C),Ipswich,Ipswich,8270.0
Queensland Startup Events And Activities Fund,Round 15 2016-17,Carotid Pty Ltd,Waugh Pocket,4871.0,,"The Entourage, Chamber of Commerce and Industry Queensland, The Young Entrepreneurs Project, Cairns Regional Council",The Cairns Entrepreneur'S Unconvention,Waugh Pocket,4871.0,,12/07/2017,Cairns (R),Far North Queensland,Hill,25000.0
Queensland Startup Events And Activities Fund,Round 14 2016-17,Cape York Institute,Cairns,4870.0,,TheSpace,Money Matters Hack-A-Day,Cairns,4870.0,,30/05/2017,Cairns (R),Far North Queensland,Cairns,3500.0
Queensland Startup Events And Activities Fund,Round 1 2017-18,Transition Level Investments Pty Ltd,Fortitude Valley,4006.0,,"River City Labs, The Kinetic Agency, Soak Creative, Females in Food",Talking Shop: The 'F' Word Masterclass Series 2017,Fortitude Valley,4006.0,,31/07/2017,Brisbane (C),Brisbane,Mcconnel,8384.0
Queensland Startup Events And Activities Fund,Round 10 2016-17,Marist Youth Care Limited,Paddington,4064.0,,River City Labs | Multi-Cultural Development Association | Access Community Services | Multilink | Australian Red Cross | QUT,Techfugeesbne Hackathon,Fortitude Valley,4006.0,,24/02/2017,Brisbane (C),Brisbane,Cooper,9070.0
Queensland Startup Events And Activities Fund,Round 1 2017-18,Tech Girls Movement Foundation Ltd,Coopers Plains,4108.0,,Queensland STEM Education Network (QSEN),Unlocking Potential In The Regions: Qld Tech Heroes Stem Superhero Ambassador Program,Coopers Plains,4108.0,,31/07/2017,Brisbane (C),Brisbane,Toohey,17900.0
Queensland Startup Events And Activities Fund,Round 2 2015-16,Regional Development Australia (Rda) Brisbane Incorporated,Greenslopes,4120.0,,"CEA, Brisbane Marketing and others","Entrepreneur Section At The Click! Digital Expo 2015 ""Creative, Connected, Clever""",South Brisbane,4101.0,,20/10/2015,Brisbane (C),Brisbane And Redlands,Greenslopes,25000.0
Queensland Startup Events And Activities Fund,Round 14 2016-17,Moreton Technology Alliance,Kippa-Ring,4021.0,,RDA Moreton Bay | Samford Commons,6 Week Startup Social Media Bootcamp & Annual Social Media Academy,Kippa-Ring,4021.0,,15/06/2017,Moreton Bay (R),Moreton Bay,Redcliffe,13500.0
Queensland Startup Events And Activities Fund,Round 12 2016-17,Startup Gladstone,Gladstone,4680.0,,Gladstone Regional Council | National Australia Bank | 'Coaching for Results',E-Club For Start-Up And Micro Businesses,Gladstone,4680.0,,29/03/2017,Gladstone (R),Central Queensland,Gladstone,22100.0
Queensland Startup Events And Activities Fund,Round 15 2016-17,Sister City Partners Limited,Townsville City,4810.0,,"Innovation NQ Inc., James Cook University, BlueKino, Intelligence Mutualisation and Communications Services Pty Ltd (IMACS Events Management)",I4 Inform+Inspire+Initiate+Impact: Fintech And The Regions - Startups & Opportunities,Townsville City,4810.0,,12/07/2017,Townsville (C),Townsville,Townsville,20000.0
Queensland Startup Events And Activities Fund,Round 12 2016-17,Bank Of Queensland,Newstead,4006.0,,River City Labs | Samsung | Mexia | Deloitte Digital | DiData,Boq Hack-A-Thon,Newstead,4006.0,,29/03/2017,Brisbane (C),Brisbane,Mcconnel,10600.0
Queensland Startup Events And Activities Fund,Round 10 2016-17,The Trustee For Kinner Family Trust,Ashgrove,4060.0,,River City Labs,Startup Onramp - Pilot Program,Fortitude Valley,4006.0,,10/03/2017,Brisbane (C),Brisbane,Cooper,25000.0
Queensland Startup Events And Activities Fund,Round 11 2016-17,Fifty Six Creations Pty Ltd,Upper Mount Gravatt,4122.0,,STEM.I.AM | Little Tokyo Two | Foundation for Young Australians (FYA) | State Library of Queensland,Fiftysix Education In Winton & Diamantina,Winton,4735.0,Winton And Diamantina,29/03/2017,Brisbane (C),Outback Queensland,Mansfield,24283.0
Queensland Startup Events And Activities Fund,Round 1 2016-17,Regional Development Australia (Rda) Moreton Bay Inc,Kippa-Ring,4021.0,,Edgeware Creative Entrepreneurship,Start Up Moreton Bay Region,Redcliffe,4020.0,Across Moreton Bay Region,8/07/2016,Moreton Bay (R),Moreton Bay,Redcliffe,23000.0
Queensland Startup Events And Activities Fund,Round 1 2016-17,Startup Townsville,Douglas (Townsville),4814.0,,Townsville City | James Cook University,Townsville Startup Weekend 2016,Townsville City,4810.0,,8/07/2016,Townsville (C),Townsville,Townsville,12825.0
Queensland Startup Events And Activities Fund,Round 1 2016-17,James Cook University,Douglas (Townsville),4814.0,,Townsville City,Festival Of Ideas,Townsville City,4810.0,,8/07/2016,Townsville (C),Townsville,Townsville,25000.0
Queensland Startup Events And Activities Fund,Round 1 2016-17,Next Media Group Pty Ltd,Wilston,4051.0,,Suncorp \ FinTech Australia \ Yodlee,Fintech Brisbane Startup Weekend,Brisbane City,4000.0,,8/07/2016,Brisbane (C),Brisbane,Stafford,3665.0
Queensland Startup Events And Activities Fund,Round 1 2017-18,Startup Toowoomba Pty Ltd,Darling Heights,4350.0,,"Techstars Community programs, University Of Southern Queensland, Canvas Coworking Space",Toowoomba Startup Group Startup Ecosystem Events And Activities,Darling Heights,4350.0,,31/07/2017,Toowoomba (R),Darling Downs,Condamine,15400.0
Queensland Startup Events And Activities Fund,Round 13 2016-17,Creative Industries Precinct Pty Ltd T/A Qut Creative Enterprise Australia,Kelvin Grove,4059.0,,"Pitcher Partners, QUT Business School, Various Incubators/Accelerators, Investors and Creative Business Cup",Creative3 Pitch 2017,South Brisbane,4101.0,,10/05/2017,Brisbane (C),Brisbane,Mcconnel,25000.0
Queensland Startup Events And Activities Fund,Round 1 2016-17,Tablelands Futures Corporations Ltd,Atherton,4883.0,,TheSPACE Cairns | Tablelands Regional Council | Mareeba Shire Council | Joint-Chambers across the Atherton Tablelands,Developing The Entrepreneurial Mindset And Skillset Throughout The Atherton Tablelands,Atherton,4883.0,Tablelands And Mareeba,8/07/2016,Tablelands (R),Far North Queensland,Hill,25000.0
Queensland Startup Events And Activities Fund,Round 1 2017-18,Credit Union Australia,Brisbane City,4000.0,,River City Labs,Trust - Technology - Relationships,Brisbane City,4000.0,,31/07/2017,Brisbane (C),Brisbane,Mcconnel,25000.0
Queensland Startup Events And Activities Fund,Round 13 2016-17,Rockhampton Regional Council,Rockhampton,4700.0,,"Startup Capricorn, CQ University,",Startup Stars,Rockhampton City,4700.0,,10/05/2017,Rockhampton (R),Central Queensland,Rockhampton,17237.0
Queensland Startup Events And Activities Fund,Round 13 2016-17,Canvas Coworking Inc,Toowoomba,4350.0,,nan,Canvas Coworking Entrepreneur Development Workshops,Toowoomba City,4350.0,,10/05/2017,Toowoomba (R),Darling Downs,Condamine,25000.0
Queensland Startup Events And Activities Fund,Round 13 2016-17,World Drone Challenge,Toowoomba,4350.0,,"University of Queensland, Lockyer Valley Regional Council, Startup Toowoomba, Keegan Consulting Group",Future Drone Innovation Challenge,Toowoomba City,4350.0,,10/05/2017,Toowoomba (R),Darling Downs,Condamine,17960.0
Queensland Startup Events And Activities Fund,Round 13 2016-17,Somerset College,Mudgeeraba,4213.0,,"Bond University, Mark Sowerby",Celebration Of Entrepreneurship,Mudgeeraba,4213.0,,10/05/2017,Gold Coast (C),Gold Coast,Mudgeeraba,23719.0
Queensland Startup Events And Activities Fund,Round 1 2015-16,River City Labs Pty Ltd,Fortitude Valley,4006.0,,Telstra and some 20 other organisations,River City Labs Accelerator Powered By Muru-D,Fortitude Valley,4006.0,,8/10/2015,Brisbane (C),Brisbane And Redlands,Mcconnel,25000.0
Queensland Startup Events And Activities Fund,Round 1 2016-17,Bundaberg Enterprise Centre Association Inc,Bundaberg,4670.0,,Bundaberg Regional,Startup Bundaberg Series,Bundaberg,4670.0,,8/07/2016,Bundaberg (R),Wide Bay,Bundaberg,15310.0
Queensland Startup Events And Activities Fund,Round 13 2016-17,Charmian Lee Pty Ltd,Hendra,4011.0,,nan,Go For Gold Regional Business Roadshow,nan,0.0,"Events Where Held In Following Locations: Cairns, Townsville, Mackay, Gladstone, Rockhampton And On-Line Webinars",10/05/2017,Brisbane (C),Statewide,Clayfield,23000.0
Queensland Startup Events And Activities Fund,Round 1 2015-16,Gold Coast Techspace Inc,Robina,4226.0,,"IT Forum Gold Coast, Wearable World",Community Meetups,Robina,4226.0,,8/10/2015,Gold Coast (C),Gold Coast,Mudgeeraba,15625.0
Queensland Startup Events And Activities Fund,Round 2 2015-16,Wavebreak International Limited,Worongary,4213.0,,Coomera Training College,Youth Entrepreneurship In High School,Coomera,4209.0,Coomera And Six High School Across Gold Coast,5/11/2015,Gold Coast (C),Gold Coast,Mudgeeraba,2823.0
Queensland Startup Events And Activities Fund,Round 4 2017-18,Business Liaison Association Incorporated,Portsmith,4870.0,,nan,Building Entrepreneurship In Schools Through Empowering Teachers,Cairns,4870.0,,9/01/2018,Cairns (R),Far North Queensland,Mulgrave,12775.0
Queensland Startup Events And Activities Fund,Round 4 2016-17,Regional Development Australia (Rda) Brisbane Incorporated,Greenslopes,4120.0,,"Career Employment Australia, Lup (Expo News), News Corp, Red Beans Production, Brisbane Marketing, Yantra Consulting,",Showcasing And Educating Startups At The 2016 Click! Digital Expo,South Brisbane,4101.0,,26/09/2016,Brisbane (C),Brisbane And Redlands,Greenslopes,24950.0
Queensland Startup Events And Activities Fund,Round 4 2017-18,She Flies Pty Ltd,Kangaroo Point,4169.0,,nan,Fly Higher Campference 2017,Kangaroo Point,4169.0,,1/01/2018,Brisbane (C),Brisbane,South Brisbane,12500.0
Queensland Startup Events And Activities Fund,Round 5 2016-17,The Trustee For One Group Unit Trust Trading As One Group,Molendinar,4214.0,,"QLD Social Enterprise Council, Little Tokyo Two, Eco Bling, Sphera Change Makers, Eco My Home, wandering Cooks, Corporate Social Energy, Youth Food Movement",Unleash: Ecopreneur Startup Weekend,Molendinar,4214.0,,26/09/2016,Gold Coast (C),Gold Coast,Southport,6686.0
Queensland Startup Events And Activities Fund,Round 5 2016-17,The Trustee For Big Blue Sky Trust,Bundall,4217.0,,"Gold Coast City Council, Griffith Uni, RDA, Bartercard, Study Gold Coast, FSG, Silicon Beach",Big Blue Sky Event,Broadbeach,4218.0,,26/09/2016,Gold Coast (C),Gold Coast,Surfers Paradise,25000.0
Queensland Startup Events And Activities Fund,Round 4 2015-16,The World Incubator,Charters Towers,4820.0,,Marketing Eye | Charters Towers Regional Council,The World Incubator,Charters Towers,4820.0,,22/02/2016,Charters Towers (R),Townsville,Traeger,21600.0
Queensland Startup Events And Activities Fund,Round 4 2015-16,Creative Industries Precinct Pty Ltd T/A Qut Creative Enterprise Australia,Kelvin Grove,4059.0,,Pitcher Partners and numerous others,Creative3 Pitch 2016,nan,,,22/02/2016,Brisbane (C),Brisbane And Redlands,Mcconnel,25000.0
Queensland Startup Events And Activities Fund,Round 4 2015-16,Commex Holdings Pty Ltd,Teneriffe,4005.0,,QLD Social Enterprise Council | Brisbane Grammar School,Lab 4 Social Innovation,nan,,,22/02/2016,Brisbane (C),Brisbane And Redlands,Mcconnel,3375.0
Queensland Startup Events And Activities Fund,Round 4 2015-16,The Trustee For Kinbombi Family Trust Trading As Queensland Incubator,Brisbane City,4000.0,,Iniative Capital,Today'S Innovators Workshop Series,nan,,,24/12/2015,Brisbane (C),Brisbane And Redlands,Mcconnel,5293.0
Queensland Startup Events And Activities Fund,Round 8 2015-16,Startup Toowoomba Pty Ltd,Darling Heights,4350.0,,Startup Weekend Australia | Canvas Coworking Inc | TechStarts Community Events,Toowoomba/Darling Downs Startup Ecosystem,nan,,,12/04/2016,Toowoomba (R),Darling Downs,Condamine,22350.0
Queensland Startup Events And Activities Fund,Round 8 2015-16,Townsville City Council,Townsville City,4810.0,,Together Townsville,Townsville Creative Industries - Entrepreneur Mentoring Program,Townsville City,4810.0,,12/04/2016,Townsville (C),Townsville,Townsville,24400.0
Queensland Startup Events And Activities Fund,Round 7 2015-16,Thespace Australasia Pty Ltd,Manunda,4870.0,,TAFE | Cairns Regional Council | James Cook University,Startup & Innovation Weekend Series 2016,nan,,,29/03/2016,Cairns (R),Far North Queensland,Cairns,15000.0
Queensland Startup Events And Activities Fund,Round 7 2015-16,Regional Development Australia Logan & Redlands Incorporated,Beenleigh,4207.0,,Logan Office of Economic Development | Department of State Development | Griffith University,Business Case Bootcamps,Meadowbrook,4131.0,2 Events - Griffith University Logan Campus Meadowbrook And Redlands Rsl - Cleveland,29/03/2016,Logan (C),Logan,Macalister,10800.0
Queensland Startup Events And Activities Fund,Round 7 2015-16,University Of Southern Queensland,Springfield Central,4300.0,,Multicultural Development Association | Toowoomba Regional Council,Building Women'S Startup Resilience In Regional Queensland,Springfield Central,4300.0,,29/03/2016,Ipswich (C),Ipswich,Jordan,16050.0
Queensland Startup Events And Activities Fund,Round 7 2016-17,River City Labs Pty Ltd,Fortitude Valley,4006.0,,"Global Startup Weekend, Blue Sky Funds, McCullough Robertson, Morgans Stockbroking, Suncorp",Global Startup Weekend Brisbane,Brisbane City,4000.0,,22/10/2016,Brisbane (C),Brisbane,Mcconnel,11475.0
Queensland Startup Events And Activities Fund,Round 7 2015-16,University Of Southern Queensland,Springfield Central,4300.0,,Ipswich City Council,Big Data For Small Business,Springfield Central,4300.0,,29/03/2016,Ipswich (C),Ipswich,Jordan,12750.0
Queensland Startup Events And Activities Fund,Round 7 2015-16,Christine Mcdougall Trading As Syzergy,Bundall,4217.0,,Gold Coast City Council,Big Blue Sky Festival Of Innovation And Creativity,nan,,,2/11/2015,Gold Coast (C),Gold Coast,Surfers Paradise,25000.0
Queensland Startup Events And Activities Fund,Round 5 2017-18,Macdonnells Law,Cairns,4870.0,,nan,"Mentoring Startups In Legal Services And Documentation, Plus Preparation For Pitching To Angel Investor",Cairns,4870.0,,19/01/2018,Cairns (R),Far North Queensland,Cairns,13950.0
Queensland Startup Events And Activities Fund,Round 5 2016-17,Wesley Mission Queensland,Chermside,4032.0,,Global Sisters,Encouraging The Entrepreneurship Alternative For All Women,Fortitude Valley,4006.0,Events Were Held In Fortitude Valley And Beenleigh Areas.,26/09/2016,Brisbane (C),Brisbane,Stafford,8779.0
Queensland Startup Events And Activities Fund,Round 6 2015-16,Uniquest (Ilab),St Lucia,4067.0,,Cook Medical | Translational Research Institute | UniQuest,Startup Weekend For Health #2,nan,,,3/03/2016,Brisbane (C),Brisbane And Redlands,Maiwar,2390.0
Queensland Startup Events And Activities Fund,Round 8 2015-16,Epi Capital Pty Ltd,Fortitude Valley,4006.0,,TechnologyOne | QUT | Indoor Skydive Australia,Tanda Hackathon 2016,nan,,,12/04/2016,Brisbane (C),Brisbane And Redlands,Mcconnel,3000.0
Queensland Startup Events And Activities Fund,Round 6 2016-17,Performance People Pty Ltd,Frenchville,4701.0,,"Rockhampton Regional Council, Livingstone Regional Council, CQU, Capricornia Chamber of Commerce, Beylyando Enterprise Network Inc, Entrepreneurs Capricorn Toastmasters, AusIndustry",Startup Capricorn Annual Events,Rockhampton City,4700.0,Capricorn Region,6/10/2016,Rockhampton (R),Central Queensland,Keppel,12503.0
Queensland Startup Events And Activities Fund,Round 3 2015-16,Canvas Coworking Inc,Toowoomba City,4350.0,,Toowoomba Chamber of Commerce | USQ | TAFE | Startup Toowoomba,Recurring Events For Entrepreneurs Via Canvas Coworking Space,Toowoomba City,4350.0,,23/12/2015,Toowoomba (R),Darling Downs,Toowoomba North,14416.0
Queensland Startup Events And Activities Fund,Round 2 2017-18,Rural & Remote Innovation Australia (Rria) Inc,Atherton,4883.0,,"theSpace Cairns, Tablelands Futures Corporation (TFC) Ltd, Tablelands Regional Council, Mareeba Shire Council, Joint-Chambers in the Tablelands, The Table, Atherton Tablelands Chamber of Commerce","Building A Model For A Sustainable Startup Ecosystem In Regional And Rural Australia - Tablelands, Far North Queensland",Atherton,4883.0,"Principally Across: Tablelands Regional Council And Mareeba Shire Council, Fn Qld",13/09/2017,Tablelands (R),Far North Queensland,Hill,23325.0
Queensland Startup Events And Activities Fund,Round 3 2016-17,Gold Coast Techspace Inc,Robina,4226.0,,Accelerati,Gctechspace: Community Collaboration,Mudgeeraba,4213.0,,5/08/2016,Gold Coast (C),Gold Coast,Mudgeeraba,12800.0
Queensland Startup Events And Activities Fund,Round 3 2015-16,Umi Arts Limited,Cairns North,4870.0,,Cairns Regional Council | Tourism Tropical North QLD | Careers Training Institute of Australia,You Me In Cultural Business,Cairns,4870.0,,23/12/2015,Cairns (R),Far North Queensland,Cairns,16616.0
Queensland Startup Events And Activities Fund,Round 2 2017-18,Regional Development Australia (Rda) Moreton Bay Inc,Kippa-Ring,4021.0,,"Edgeware Creative Entrepreneurship, Moreton Bay Region Industry & Tourism, Moreton Bay Region Chambers of Commerce,",Start Up Moreton Bay Region,Redcliffe,4020.0,Across The Moreton Bay Regional Council Area.,13/09/2017,Moreton Bay (R),Moreton Bay,Redcliffe,23000.0
Queensland Startup Events And Activities Fund,Round 2 2017-18,Fifty Six Creations Pty Ltd,Upper Mount Gravatt,4122.0,,"State Library Queensland,",Fiftysix Creations Will Spend Four Days In Mount Isa Running Workshops With Students Aged Ten To Eighteen. Each Fiftysix Opportunity Workshop Will Run For Between 45-Minutes To 120-Minutes Depending On The School/ Organisations Requirements.,Mount Isa,4825.0,,13/09/2017,Brisbane (C),Outback Queensland,Mansfield,25000.0
Queensland Startup Events And Activities Fund,Round 2 2016-17,Startup Mackay Inc,Mount Pleasant,4740.0,,Mackay Regional Council,Startup Weekend Mackay 2016,Mount Pleasant,4740.0,,2/08/2016,Moreton Bay (R),Moreton Bay,Pine Rivers,5802.0
Queensland Startup Events And Activities Fund,Round 2 2017-18,Palm Island Aboriginal  Council,Palm Island,4816.0,,Tourism and Events Queensland,Palm Island Tourism - Beyond Yarning,Palm Island,4816.0,,13/09/2017,Palm Island (S),Townsville,Townsville,4000.0
Queensland Startup Events And Activities Fund,Round 2 2017-18,Health Management Pty Ltd,Cairns North,4870.0,,"Bond University Nutrition & Dietetics, Health Leadership Australia, Tyson Franklin, Pojo Physiotherapist, Nicole Robinson, Dietitian Connection, Maxwell MRI Matthew Brown",Advancing Entrepreneurship In Health Professionals,Brisbane City,4000.0,,13/09/2017,Cairns (R),Brisbane,Cairns,25000.0
Queensland Startup Events And Activities Fund,Round 8 2016-17,Split Spaces Ltd,Mackay,4740.0,,Business in Barefeet,Visiting Entrepreneur Regional Roadshow,Airlie Beach,4802.0,"Airlie Beach, Bowen, Collinsville, Moranbah, Clermont, Emerald, Rockhampton",18/11/2016,Mackay (R),Mackay-Whitsunday,Mackay,15919.0
Queensland Startup Events And Activities Fund,Round 3 2017-18,Startup Mackay Inc,Mackay,4740.0,,Split Spaces,Startup Weekend Mackay 2017,Mackay,4740.0,,16/10/2017,Mackay (R),Mackay-Whitsunday,Mackay,9500.0
Queensland Startup Events And Activities Fund,Round 3 2016-17,Redeye Apps Pty Ltd,Brisbane City,4000.0,,nan,Redeye Future Of Work Conference,Brisbane City,4000.0,,5/08/2016,Brisbane (C),Brisbane,Mcconnel,20000.0
Queensland Startup Events And Activities Fund,Round 3 2017-18,Qut Bluebox,Kelvin Grove,4059.0,,"QUT Business School, QUT Starters, QUT Student Guild, QUT Foundry, Creative Enterprise Australia (CEA), Office of the Chief Entrepreneur",Qut Founders Festival,Kelvin Grove,4059.0,,10/10/2017,Brisbane (C),Brisbane,Mcconnel,15588.0
Queensland Startup Events And Activities Fund,Round 3 2017-18,Queensland Society For Information Technology In Education Inc (Qsite),Macgregor,4109.0,,theSPACE Australasia,Startup Weekend Youth 2017,Red Hill,4059.0,,10/10/2017,Brisbane (C),Brisbane,Toohey,15000.0
Queensland Startup Events And Activities Fund,Round 9 2016-17,Toowoomba Chamber Of Commerce Incorporated,Toowoomba,4350.0,,"1300webpro,Clifford Gouldson Lawyers, Franchisee Success",Women: Leaders In Innovation And Entrepreneurship,Toowoomba City,4350.0,,28/11/2016,Toowoomba (R),Darling Downs,Condamine,15000.0
Queensland Startup Events And Activities Fund,Round 3 2017-18,The Generator Bundaberg Pty Ltd,Bundaberg,4670.0,,"Startup Bundaberg, Open Cloud Broadband, Wide Reach Social Media, Central Queensland University, Bundaberg Chamber of Commerce, WBBROC - Wide Bay Burnett Regional Organisation of Councils, Bundaberg Business Enterprise Centre",BundabergS Inaugural Startup Weekend,Bundaberg,4670.0,,10/10/2017,Bundaberg (R),Wide Bay,Bundaberg,7336.0
Queensland Startup Events And Activities Fund,Round 3 2016-17,Innovation Nq Inc,Townsville City,4810.0,,"James Cook University, Tec-NQ",Inq Launch And Innovation Breakfast,Townsville City,4810.0,,5/08/2016,Townsville (C),Townsville,Townsville,8998.0
Queensland Startup Events And Activities Fund,Round 9 2016-17,Gympie Regional Council,Gympie,4570.0,,Causeway Innovation Pty Ltd,Startup Gympie Region,Gympie,4570.0,,28/11/2016,Gympie (R),Wide Bay,Gympie,25000.0
Reckon Business Hubs,Round 1,Reckon Limited,North Sydney,2060.0,,nan,Deadly Digits,North Sydney,2060.0,Multiple Locations Servicing Queensland Based Indigenous Businesses,8/07/2020,Nonqueensland,Nonqueensland,Nonqueensland,119000.0
Regional Business Angels Support Program,AQ Regional Angel Investors Support Program 2017-18 Round 1,Open Fund Pty Ltd,Aitkenvale,4814.0,,nan,Openfund Angel Investment Group,Aitkenvale,4814.0,North Queensland,28/02/2018,Townsville (C),Townsville,Mundingburra,20000.0
Regional Business Angels Support Program,AQ Regional Angel Investors Support Program 2017-18 Round 1,Moreton Ventures Pty Ltd,Hamilton,4007.0,,nan,Queensland Tech Angels (Qta) Redlands/Logan Chapter,Kingston,4114.0,,28/02/2018,Brisbane (C),Logan,Clayfield,19900.0
Regional Business Angels Support Program,AQ Regional Angel Investors Support Program 2017-18 Round 1,Startup Status Ltd,Moores Pocket,4305.0,,nan,Ipswich And West Moreton Region Startup Investor Network,Moores Pocket,4305.0,,28/02/2018,Ipswich (C),Ipswich,Ipswich West,17399.0
Regional Business Angels Support Program,AQ Regional Angel Investors Support Program 2017-18 Round 1,Suncoast Angels Pty Ltd,Maroochydore,4558.0,,nan,Suncoast Angels,Maroochydore,4558.0,,28/02/2018,Sunshine Coast (R),Sunshine Coast,Maroochydore,20000.0
Regional Business Angels Support Program,AQ Regional Angel Investors Support Program 2017-18 Round 1,Angel Loop Limited,Brisbane,4000.0,,nan,Establishing Rockhampton Angels As A Focus For Fitzroy Regional Angel Investors Supporting Innovation,Rockhampton City,4700.0,,28/02/2018,Brisbane (C),Central Queensland,Mcconnel,20000.0
